article_id,author_id,full_name
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,165,Madrid
de2cc1c40c2b66aad07e4cc1288b31f4d8d531a7,166,Spain
03ef20828a9fc2ff98b489b3f8e8f251222ebd07,167,Humberto_Martínez_Cordero
03ef20828a9fc2ff98b489b3f8e8f251222ebd07,168,Camila_Peña
03ef20828a9fc2ff98b489b3f8e8f251222ebd07,169,Dorotea_Fantl
03ef20828a9fc2ff98b489b3f8e8f251222ebd07,170,Eloisa_Riva
03ef20828a9fc2ff98b489b3f8e8f251222ebd07,171,Natalia_Paola_Schutz
414eb129c7c69c281d3377290ad96304d8fe51b7,172,Wenjiang_Fu
414eb129c7c69c281d3377290ad96304d8fe51b7,173,Jieni_Li
414eb129c7c69c281d3377290ad96304d8fe51b7,174,Paul_Scheet
f63ba27478f355601e0b17aea468f3968a0c063a,175,Roberta_Demichelis
f63ba27478f355601e0b17aea468f3968a0c063a,176,Martha_Alvarado
f63ba27478f355601e0b17aea468f3968a0c063a,177,Jule_F_Vasquez
f63ba27478f355601e0b17aea468f3968a0c063a,178,Nancy_Delgado
f63ba27478f355601e0b17aea468f3968a0c063a,179,Cynthia_Gómez
f63ba27478f355601e0b17aea468f3968a0c063a,180,Karla_Adriana_Espinosa
f63ba27478f355601e0b17aea468f3968a0c063a,181,Ana_Cooke
f63ba27478f355601e0b17aea468f3968a0c063a,182,Andrea_Milan
f63ba27478f355601e0b17aea468f3968a0c063a,183,Andres_Gomez-De_Leon
f63ba27478f355601e0b17aea468f3968a0c063a,184,Lee-Tsai_Yu_Ling
f63ba27478f355601e0b17aea468f3968a0c063a,185,Daniel_Estuardo_Rosales
f63ba27478f355601e0b17aea468f3968a0c063a,186,Alvaro_Cabrero_Garcia
f63ba27478f355601e0b17aea468f3968a0c063a,187,Lauro_Fabian_Amador
f63ba27478f355601e0b17aea468f3968a0c063a,188,Carmina_Alejandra_Córdova-Ramírez
f63ba27478f355601e0b17aea468f3968a0c063a,189,Iván_Murrieta-Álvarez
f63ba27478f355601e0b17aea468f3968a0c063a,190,Juan_Carlos_Solís-Poblano
f63ba27478f355601e0b17aea468f3968a0c063a,191,Elia_Ixel_Apodaca
f63ba27478f355601e0b17aea468f3968a0c063a,192,Juan_Rangel-Patiño
f63ba27478f355601e0b17aea468f3968a0c063a,193,Jose_Luis_Álvarez
f63ba27478f355601e0b17aea468f3968a0c063a,194,Luara_Arana
f63ba27478f355601e0b17aea468f3968a0c063a,195,Jose_Antonio_De_La_Peña-Celaya
f63ba27478f355601e0b17aea468f3968a0c063a,196,María_Eugenia_Espitia
f63ba27478f355601e0b17aea468f3968a0c063a,197,Eleazar_Hernandez
f63ba27478f355601e0b17aea468f3968a0c063a,198,Juan_Manuel_Perez
f63ba27478f355601e0b17aea468f3968a0c063a,199,Rosa_González-Rivera
f63ba27478f355601e0b17aea468f3968a0c063a,200,María_Fernanda_García-Leyva
f63ba27478f355601e0b17aea468f3968a0c063a,201,Estefania_Peña
f63ba27478f355601e0b17aea468f3968a0c063a,202,Monica_Tejeda_Romero
f63ba27478f355601e0b17aea468f3968a0c063a,203,Carolina_Balderas-Delgado
f63ba27478f355601e0b17aea468f3968a0c063a,204,Jorge_Cruz_Rico
f63ba27478f355601e0b17aea468f3968a0c063a,40,Guillermo_Ruiz_Arguelles
f63ba27478f355601e0b17aea468f3968a0c063a,54,David_Gomez-Almaguer
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,205,Abi_Vijenthira
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,206,Inna_Gong
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,207,Thomas_A_Fox
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,208,Stephen_Booth
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,209,Gordon_Cook
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,210,M_B_Chb
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,211,Bruno_Fattizzo
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,212,Fernando_Martín_Moro
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,213,Jerome_Razanamahery
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,214,John_Riches
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,215,Jeffrey_I_Zwicker
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,216,Rushad_Patell
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,217,Marie_Christiane_Vekemans
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,218,Lydia_Scarfo
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,219,Thomas_Chatzikonstantinou
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,220,Halil_Yildiz
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,221,Raphael_Lattenist
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,222,Ioannis_Mantzaris
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,223,William_Wood
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,224,Lisa_K_Hicks
c5f8c80fd50d6a605e1da1e1f8409dffe1cde7b4,225,Ka_Li
0b5ce0bef5e7b10596db67287e871161f65ae75d,226,Hanny_Al-Samkari
0b5ce0bef5e7b10596db67287e871161f65ae75d,227,Fei_Song
0b5ce0bef5e7b10596db67287e871161f65ae75d,228,Elizabeth_M_Van_Cott
0b5ce0bef5e7b10596db67287e871161f65ae75d,229,David_J_Kuter
0b5ce0bef5e7b10596db67287e871161f65ae75d,230,Rachel_P_Rosovsky
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,231,T_M_Wise-Draper
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,232,A_Desai
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,233,A_Elkrief
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,234,B_I_Rini
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,235,D_B_Flora
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,236,D_W_Bowles
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,237,D_Shah
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,238,D_Rivera
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,239,D_B_Johnson
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,240,G_Lopes
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,241,P_Grivas
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,242,M_A_Thompson
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,243,S_Peters
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,244,N_M_Kuderer
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,245,N_L_Nock
c7c1c9dd000bf2a67d4dec9e9731246db81758b8,246,P_Grover
